route_id,stop_sequence,station_id,station_name,stop_lat,stop_lon
1,1,101,Van Cortlandt Park-242 St,40.889248,-73.898583
1,2,103,238 St,40.884667,-73.90087
1,3,104,231 St,40.878856,-73.904834
1,4,106,Marble Hill-225 St,40.874561,-73.909831
1,5,107,215 St,40.869444,-73.915279
1,6,108,207 St,40.864621,-73.918822
1,7,109,Dyckman St,40.860531,-73.925536
1,8,110,191 St,40.855225,-73.929412
1,9,111,181 St,40.849505,-73.933596
1,10,112,168 St-Washington Hts,40.840556,-73.940133
1,11,113,157 St,40.834041,-73.94489
1,12,114,145 St,40.826551,-73.95036
1,13,115,137 St-City College,40.822008,-73.953676
1,14,116,125 St,40.815581,-73.958372
1,15,117,116 St-Columbia University,40.807722,-73.96411
1,16,118,Cathedral Pkwy (110 St),40.803967,-73.966847
1,17,119,103 St,40.799446,-73.968379
1,18,120,96 St,40.793919,-73.972323
1,19,121,86 St,40.788644,-73.976218
1,20,122,79 St,40.783934,-73.979917
1,21,123,72 St,40.778453,-73.98197
1,22,124,66 St-Lincoln Center,40.77344,-73.982209
1,23,125,59 St-Columbus Circle,40.768247,-73.981929
1,24,126,50 St,40.761728,-73.983849
1,25,127,Times Sq-42 St,40.75529,-73.987495
1,26,128,34 St-Penn Station,40.750373,-73.991057
1,27,129,28 St,40.747215,-73.993365
1,28,130,23 St,40.744081,-73.995657
1,29,131,18 St,40.74104,-73.997871
1,30,132,14 St,40.737826,-74.000201
1,31,133,Christopher St-Stonewall,40.733422,-74.002906
1,32,134,Houston St,40.728251,-74.005367
1,33,135,Canal St,40.722854,-74.006277
1,34,136,Franklin St,40.719318,-74.006886
1,35,137,Chambers St,40.715478,-74.009266
1,36,138,WTC Cortlandt,40.711835,-74.012188
1,37,139,Rector St,40.707513,-74.013783
1,38,142,South Ferry,40.702068,-74.013664
2,1,201,Wakefield-241 St,40.903125,-73.85062
2,2,204,Nereid Av,40.898379,-73.854376
2,3,205,233 St,40.893193,-73.857473
2,4,206,225 St,40.888022,-73.860341
2,5,207,219 St,40.883895,-73.862633
2,6,208,Gun Hill Rd,40.87785,-73.866256
2,7,209,Burke Av,40.871356,-73.867164
2,8,210,Allerton Av,40.865462,-73.867352
2,9,211,Pelham Pkwy,40.857192,-73.867615
2,10,212,Bronx Park East,40.848828,-73.868457
2,11,213,E 180 St,40.841894,-73.873488
2,12,214,West Farms Sq-E Tremont Av,40.840295,-73.880049
2,13,215,174 St,40.837288,-73.887734
2,14,216,Freeman St,40.829993,-73.891865
2,15,217,Simpson St,40.824073,-73.893064
2,16,218,Intervale Av,40.822181,-73.896736
2,17,219,Prospect Av,40.819585,-73.90177
2,18,220,Jackson Av,40.81649,-73.907807
2,19,221,3 Av-149 St,40.816109,-73.917757
2,20,222,149 St-Grand Concourse,40.81841,-73.926718
2,21,224,135 St,40.814229,-73.94077
2,22,225,125 St,40.807754,-73.945495
2,23,226,116 St,40.802098,-73.949625
2,24,227,Central Park North (110 St),40.799075,-73.951822
2,25,120,96 St,40.793919,-73.972323
2,26,121,86 St,40.788644,-73.976218
2,27,122,79 St,40.783934,-73.979917
2,28,123,72 St,40.778453,-73.98197
2,29,124,66 St-Lincoln Center,40.77344,-73.982209
2,30,125,59 St-Columbus Circle,40.768247,-73.981929
2,31,126,50 St,40.761728,-73.983849
2,32,127,Times Sq-42 St,40.75529,-73.987495
2,33,128,34 St-Penn Station,40.750373,-73.991057
2,34,129,28 St,40.747215,-73.993365
2,35,130,23 St,40.744081,-73.995657
2,36,131,18 St,40.74104,-73.997871
2,37,132,14 St,40.737826,-74.000201
2,38,133,Christopher St-Stonewall,40.733422,-74.002906
2,39,134,Houston St,40.728251,-74.005367
2,40,135,Canal St,40.722854,-74.006277
2,41,136,Franklin St,40.719318,-74.006886
2,42,137,Chambers St,40.715478,-74.009266
2,43,228,Park Place,40.713051,-74.008811
2,44,229,Fulton St,40.709416,-74.006571
2,45,230,Wall St,40.706821,-74.0091
2,46,231,Clark St,40.697466,-73.993086
2,47,232,Borough Hall,40.693219,-73.989998
2,48,233,Hoyt St,40.690545,-73.985065
2,49,234,Nevins St,40.688246,-73.980492
2,50,235,Atlantic Av-Barclays Ctr,40.684359,-73.977666
2,51,236,Bergen St,40.680829,-73.975098
2,52,237,Grand Army Plaza,40.675235,-73.971046
2,53,238,Eastern Pkwy-Brooklyn Museum,40.671987,-73.964375
2,54,239,Franklin Av-Medgar Evers College,40.670682,-73.958131
2,55,241,President St-Medgar Evers College,40.667883,-73.950683
2,56,242,Sterling St,40.662742,-73.95085
2,57,243,Winthrop St,40.656652,-73.9502
2,58,244,Church Av,40.650843,-73.949575
2,59,245,Beverly Rd,40.645098,-73.948959
2,60,246,Newkirk Av-Little Haiti,40.639967,-73.948411
2,61,247,Flatbush Av-Brooklyn College,40.632836,-73.947642
3,1,301,Harlem-148 St,40.82388,-73.93647
3,2,302,145 St,40.820421,-73.936245
3,3,224,135 St,40.814229,-73.94077
3,4,225,125 St,40.807754,-73.945495
3,5,226,116 St,40.802098,-73.949625
3,6,227,Central Park North (110 St),40.799075,-73.951822
3,7,120,96 St,40.793919,-73.972323
3,8,123,72 St,40.778453,-73.98197
3,9,127,Times Sq-42 St,40.75529,-73.987495
3,10,128,34 St-Penn Station,40.750373,-73.991057
